date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1987-02-07,1987,England,Ireland,0,17,-17,Loss,1987 Five Nations Championship
1987-02-07,1987,France,Wales,16,9,7,Win,1987 Five Nations Championship
1987-02-07,1987,Ireland,England,17,0,17,Win,1987 Five Nations Championship
1987-02-07,1987,Wales,France,9,16,-7,Loss,1987 Five Nations Championship
1987-02-21,1987,England,France,15,19,-4,Loss,1987 Five Nations Championship
1987-02-21,1987,France,England,19,15,4,Win,1987 Five Nations Championship
1987-02-21,1987,Ireland,Scotland,12,16,-4,Loss,1987 Five Nations Championship
1987-03-07,1987,England,Wales,12,19,-7,Loss,1987 Five Nations Championship
1987-03-07,1987,France,Scotland,28,22,6,Win,1987 Five Nations Championship
1987-03-07,1987,Wales,England,19,12,7,Win,1987 Five Nations Championship
1987-03-21,1987,France,Ireland,19,13,6,Win,1987 Five Nations Championship
1987-03-21,1987,Ireland,France,13,19,-6,Loss,1987 Five Nations Championship
1987-03-21,1987,Wales,Scotland,15,21,-6,Loss,1987 Five Nations Championship
1987-04-04,1987,England,Scotland,21,12,9,Win,1987 Five Nations Championship
1987-04-04,1987,Ireland,Wales,15,11,4,Win,1987 Five Nations Championship
1987-04-04,1987,Wales,Ireland,11,15,-4,Loss,1987 Five Nations Championship
1987-05-22,1987,Italy,New Zealand,6,70,-64,Loss,1987 Rugby World Cup
1987-05-22,1987,New Zealand,Italy,70,6,64,Win,1987 Rugby World Cup
1987-05-23,1987,Australia,England,19,6,13,Win,1987 Rugby World Cup Pool match
1987-05-23,1987,England,Australia,6,19,-13,Loss,1987 Rugby World Cup Pool match
1987-05-23,1987,France,Scotland,20,20,0,Draw,1987 Rugby World Cup
1987-05-25,1987,Ireland,Wales,6,13,-7,Loss,1987 Rugby World Cup
1987-05-25,1987,Wales,Ireland,13,6,7,Win,1987 Rugby World Cup
1987-05-28,1987,Argentina,Italy,25,16,9,Win,1987 Rugby World Cup
1987-05-28,1987,Italy,Argentina,16,25,-9,Loss,1987 Rugby World Cup
1987-06-01,1987,Argentina,New Zealand,15,46,-31,Loss,1987 Rugby World Cup Pool match
1987-06-01,1987,New Zealand,Argentina,46,15,31,Win,1987 Rugby World Cup Pool match
1987-06-06,1987,New Zealand,Scotland,30,3,27,Win,1987 Rugby World Cup Quarter Final
1987-06-07,1987,Australia,Ireland,33,15,18,Win,1987 Rugby World Cup Quarter-final
1987-06-07,1987,Ireland,Australia,15,33,-18,Loss,1987 Rugby World Cup Quarter-final
1987-06-08,1987,England,Wales,3,16,-13,Loss,1987 Rugby World Cup quarter-final
1987-06-08,1987,Wales,England,16,3,13,Win,1987 Rugby World Cup quarter-final
