date,year,team,opponent,team_score,opponent_score,margin,result,tournament,elo_pre,elo_post,elo_delta
1987-02-07,1987,England,Ireland,0,17,-17,Loss,1987 Five Nations Championship,1500.0,1485.0,-15.0
1987-02-07,1987,France,Wales,16,9,7,Win,1987 Five Nations Championship,1500.0,1515.0,15.0
1987-02-07,1987,Ireland,England,17,0,17,Win,1987 Five Nations Championship,1500.0,1514.3528000084657,14.352800008465692
1987-02-07,1987,Wales,France,9,16,-7,Loss,1987 Five Nations Championship,1500.0,1485.6471999915343,-14.352800008465692
1987-02-21,1987,England,France,15,19,-4,Loss,1987 Five Nations Championship,1485.0,1471.2919947606663,-13.708005239333716
1987-02-21,1987,France,England,19,15,4,Win,1987 Five Nations Championship,1515.0,1528.122865852119,13.122865852119048
1987-02-21,1987,Ireland,Scotland,12,16,-4,Loss,1987 Five Nations Championship,1514.3528000084657,1498.7334920786259,-15.619307929839806
1987-02-21,1987,Scotland,Ireland,16,12,4,Win,1987 Five Nations Championship,1500.0,1514.9453206998235,14.94532069982347
1987-03-07,1987,Scotland,France,22,28,-6,Loss,1987 Five Nations Championship,1514.9453206998235,1500.5139684095723,-14.431352290251198
1987-03-07,1987,Wales,England,19,12,7,Win,1987 Five Nations Championship,1485.6471999915343,1500.0277883969377,14.380588405403387
1987-03-07,1987,England,Wales,12,19,-7,Loss,1987 Five Nations Championship,1471.2919947606663,1457.5297975244052,-13.762197236261045
1987-03-07,1987,France,Scotland,28,22,6,Win,1987 Five Nations Championship,1528.122865852119,1541.9333965751337,13.810530723014608
1987-03-21,1987,France,Ireland,19,13,6,Win,1987 Five Nations Championship,1541.9333965751337,1555.0778592986842,13.144462723550532
1987-03-21,1987,Ireland,France,13,19,-6,Loss,1987 Five Nations Championship,1498.7334920786259,1486.1449704627755,-12.588521615850368
1987-03-21,1987,Scotland,Wales,21,15,6,Win,1987 Five Nations Championship,1500.5139684095723,1515.4929783448426,14.97900993527037
1987-03-21,1987,Wales,Scotland,15,21,-6,Loss,1987 Five Nations Championship,1500.0277883969377,1485.6950336941427,-14.332754702795
1987-04-04,1987,England,Scotland,21,12,9,Win,1987 Five Nations Championship,1457.5297975244052,1475.0093079237195,17.479510399314222
1987-04-04,1987,Ireland,Wales,15,11,4,Win,1987 Five Nations Championship,1486.1449704627755,1501.1255451418301,14.980574679054598
1987-04-04,1987,Scotland,England,12,21,-9,Loss,1987 Five Nations Championship,1515.4929783448426,1498.7530252568783,-16.739953087964295
1987-04-04,1987,Wales,Ireland,11,15,-4,Loss,1987 Five Nations Championship,1485.6950336941427,1471.3607847560631,-14.334248938079554
